movie;year;rating;directors;actors
The Shawshank Redemption;1994;9.2;Frank Darabont;['Tim Robbins', 'Morgan Freeman']
The Godfather;1972;9.1;Francis Ford Coppola;['Marlon Brando', 'Al Pacino']
The Godfather: Part II;1974;9.0;Francis Ford Coppola;['Al Pacino', 'Robert De Niro']
The Dark Knight;2008;9.0;Christopher Nolan;['Christian Bale', 'Heath Ledger']
12 Angry Men;1957;8.9;Sidney Lumet;['Henry Fonda', 'Lee J. Cobb']
Schindler's List;1993;8.9;Steven Spielberg;['Liam Neeson', 'Ralph Fiennes']
The Lord of the Rings: The Return of the King;2003;8.9;Peter Jackson;['Elijah Wood', 'Viggo Mortensen']
Pulp Fiction;1994;8.8;Quentin Tarantino;['John Travolta', 'Uma Thurman']
The Good, the Bad and the Ugly;1966;8.8;Sergio Leone;['Clint Eastwood', 'Eli Wallach']
The Lord of the Rings: The Fellowship of the Ring;2001;8.8;Peter Jackson;['Elijah Wood', 'Ian McKellen']
Fight Club;1999;8.8;David Finche;['Brad Pitt', 'Edward Norton']
Forrest Gump;1994;8.8;Robert Zemeckis;['Tom Hanks', 'Robin Wright']
Inception;2010;8.7;Christopher Nolan;['Leonardo DiCaprio', 'Joseph Gordon-Levitt']
The Lord of the Rings: The Two Towers;2002;8.7;Peter Jackson;['Elijah Wood', 'Ian McKellen']
Star Wars: Episode V - The Empire Strikes Back;1980;8.7;Irvin Kershne;['Mark Hamill', 'Harrison Ford']
The Matrix;1999;8.6;Lana Wachowsk;['Keanu Reeves', 'Laurence Fishburne']
Goodfellas;1990;8.6;Martin Scorsese;['Robert De Niro', 'Ray Liotta']
One Flew Over the Cuckoo's Nest;1975;8.6;Milos Forman;['Jack Nicholson', 'Louise Fletcher']
Seven Samurai;1954;8.6;Akira Kurosawa;['Toshirô Mifune', 'Takashi Shimura']
Se7en;1995;8.6;David Finche;['Morgan Freeman', 'Brad Pitt']
Life Is Beautiful;1997;8.6;Roberto Benign;['Roberto Benigni', 'Nicoletta Braschi']
City of God;2002;8.6;Fernando Meirelles;['Alexandre Rodrigues', 'Leandro Firmino']
The Silence of the Lambs;1991;8.6;Jonathan Demme;['Jodie Foster', 'Anthony Hopkins']
It's a Wonderful Life;1946;8.6;Frank Capra;['James Stewart', 'Donna Reed']
Star Wars: Episode IV - A New Hope;1977;8.6;George Lucas;['Mark Hamill', 'Harrison Ford']
Saving Private Ryan;1998;8.6;Steven Spielberg;['Tom Hanks', 'Matt Damon']
Spirited Away;2001;8.5;Hayao Miyazak;['Daveigh Chase', 'Suzanne Pleshette']
The Green Mile;1999;8.5;Frank Darabont;['Tom Hanks', 'Michael Clarke Duncan']
Interstellar;2014;8.5;Christopher Nolan;['Matthew McConaughey', 'Anne Hathaway']
Parasite;2019;8.5;Bong Joon Ho;['Kang-ho Song', 'Lee Sun-kyun']
