model;year;city;price
 BMW 2 Serisi 216d Gran Coupe Firs...  ;2020;İstanbul;490.6
 Volkswagen Tiguan 1.4 TSI Comfort...  ;2016;Konya;282.0
 Mazda 626 2.0 GLX ;1998;Düzce;56.8
 Dacia Dokker 1.5 DCi Stepway ;2017;Muğla;124.5
 Volkswagen Polo 1.2 TSi Comfortli...  ;2016;İzmir;169.0
 Volkswagen Passat 1.4 TSi BlueMot...  ;2017;İstanbul;265.0
 Volkswagen Scirocco 1.4 TSi Sport...  ;2015;Yozgat;242.5
 Renault Megane 1.6 Dynamique ;2005;Aydın;80.0
 Mazda 626 2.0 GLX ;1994;Düzce;57.5
 Volkswagen Amarok 2.0 BITDI Highl...  ;2017;Ordu;342.0
 Renault Kadjar 1.5 dCi Icon ;2015;Ankara;230.0
 Rover 45 1.6 Classic ;2004;Mersin;47.0
 Mitsubishi L 200 4x2 Storm ;2015;Denizli;185.0
 Audi A3 Sedan 1.4 TFSI Attraction ;2013;İstanbul;262.0
 BMW 5 Serisi 525d xDrive Comfort ;2012;İstanbul;412.5
 Ford Focus 1.5 TDCi Trend X ;2018;Denizli;205.0
